,equity_usd
2022-08-24 00:00:00+00:00,150151.21369709593
2022-08-25 00:00:00+00:00,150125.28709601783
2022-08-26 00:00:00+00:00,150089.5904494565
2022-08-29 00:00:00+00:00,150026.69922560648
2022-08-30 00:00:00+00:00,150060.6223722015
2022-08-31 00:00:00+00:00,149998.9375692193
2022-09-01 00:00:00+00:00,150034.6218864996
2022-09-02 00:00:00+00:00,149977.6136183515
2022-09-05 00:00:00+00:00,149916.80516128006
2022-09-06 00:00:00+00:00,149944.51123080778
2022-09-07 00:00:00+00:00,149898.33049550015
2022-09-08 00:00:00+00:00,149954.37862282025
2022-09-09 00:00:00+00:00,149897.8147405481
2022-09-12 00:00:00+00:00,149906.69348740147
2022-09-13 00:00:00+00:00,149888.23286791245
2022-09-14 00:00:00+00:00,149884.99561108783
2022-09-15 00:00:00+00:00,149822.33841182836
2022-09-16 00:00:00+00:00,149852.0252059445
2022-09-19 00:00:00+00:00,149798.69712057448
2022-09-20 00:00:00+00:00,149866.6331848586
2022-09-21 00:00:00+00:00,149832.62420534805
2022-09-22 00:00:00+00:00,150079.22936398082
2022-09-23 00:00:00+00:00,150227.09950597928
2022-09-26 00:00:00+00:00,150158.97105364085
2022-09-27 00:00:00+00:00,150148.32974922977
2022-09-28 00:00:00+00:00,150123.26423100688
2022-09-29 00:00:00+00:00,150056.50568309834
2022-09-30 00:00:00+00:00,150093.58282631845
2022-10-03 00:00:00+00:00,150044.65119002954
2022-10-04 00:00:00+00:00,150182.5759788562
2022-10-05 00:00:00+00:00,150253.66735467353
2022-10-06 00:00:00+00:00,150241.29701536574
2022-10-07 00:00:00+00:00,150267.09887959238
2022-10-10 00:00:00+00:00,150196.90593607922
2022-10-11 00:00:00+00:00,150146.12245632528
2022-10-12 00:00:00+00:00,150098.5414774239
2022-10-13 00:00:00+00:00,150394.78113094225
2022-10-14 00:00:00+00:00,150479.17031911475
2022-10-17 00:00:00+00:00,150596.27003894243
2022-10-18 00:00:00+00:00,150543.64712725
2022-10-19 00:00:00+00:00,150468.73517278084
2022-10-20 00:00:00+00:00,150505.6684077778
2022-10-21 00:00:00+00:00,150532.58667209162
2022-10-24 00:00:00+00:00,150482.81605132483
2022-10-25 00:00:00+00:00,150473.6189186832
2022-10-26 00:00:00+00:00,150513.90696870876
2022-10-27 00:00:00+00:00,150571.68732673558
2022-10-28 00:00:00+00:00,150665.90056824303
2022-10-31 00:00:00+00:00,150808.9843548412
2022-11-01 00:00:00+00:00,150756.43943653992
2022-11-02 00:00:00+00:00,150746.1652759263
2022-11-03 00:00:00+00:00,150841.01241067317
2022-11-04 00:00:00+00:00,150788.97136190033
2022-11-07 00:00:00+00:00,150743.67955661713
2022-11-08 00:00:00+00:00,150711.85674028884
2022-11-09 00:00:00+00:00,150731.47717015498
2022-11-10 00:00:00+00:00,150803.19751139247
2022-11-11 00:00:00+00:00,150773.00255558238
2022-11-14 00:00:00+00:00,150733.34994425406
2022-11-15 00:00:00+00:00,150699.7189786654
2022-11-16 00:00:00+00:00,150736.1180543159
2022-11-17 00:00:00+00:00,150671.35875281238
2022-11-18 00:00:00+00:00,150635.95148080873
2022-11-21 00:00:00+00:00,150563.6621832629
2022-11-22 00:00:00+00:00,150526.8457418416
2022-11-23 00:00:00+00:00,150541.97451748795
2022-11-24 00:00:00+00:00,150552.31848785517
2022-11-25 00:00:00+00:00,150495.96773817952
2022-11-28 00:00:00+00:00,150453.52533907842
2022-11-29 00:00:00+00:00,150404.76216952124
2022-11-30 00:00:00+00:00,150338.8933290341
2022-12-01 00:00:00+00:00,150282.87734270812
2022-12-02 00:00:00+00:00,150326.73063961946
2022-12-05 00:00:00+00:00,150270.02408373833
2022-12-06 00:00:00+00:00,150214.75501069738
2022-12-07 00:00:00+00:00,150182.98690235917
2022-12-08 00:00:00+00:00,150117.69925038476
2022-12-09 00:00:00+00:00,150051.83384007117
2022-12-12 00:00:00+00:00,149979.0800842688
2022-12-13 00:00:00+00:00,150183.97089683605
2022-12-14 00:00:00+00:00,150160.3297331296
2022-12-15 00:00:00+00:00,150147.32343280595
